,Sex_Code,Sex,Age_Code,Age,Year,Population
40,2,Females,A35,35,2001,-0.03871162515050169
41,2,Females,A35,35,2002,-0.03784252644623987
42,2,Females,A35,35,2003,-0.037064284159359764
43,2,Females,A35,35,2004,-0.03666624157001738
44,2,Females,A35,35,2005,-0.03660175991844909
45,2,Females,A35,35,2006,-0.0371070980216778
46,2,Females,A35,35,2007,-0.03760501318873561
47,2,Females,A35,35,2008,-0.03768650291241566
48,2,Females,A35,35,2009,-0.03724976607361366
49,2,Females,A35,35,2010,-0.03659441487852758
50,2,Females,A35,35,2011,-0.03543890552669057
51,2,Females,A35,35,2012,-0.034355563483173375
52,2,Females,A35,35,2013,-0.033606523035218286
53,2,Females,A35,35,2014,-0.03316414267936622
54,2,Females,A35,35,2015,-0.03307193337922686
55,2,Females,A35,35,2016,-0.03330152110460348
56,2,Females,A35,35,2017,-0.0338628867898606
57,2,Females,A35,35,2018,-0.0346320219825825
58,2,Females,A35,35,2019,-0.035360522626084905
59,2,Females,A35,35,2020,-0.036041804862129864
80,1,Males,A35,35,2001,0.03823026878601126
81,1,Males,A35,35,2002,0.037360254134220665
82,1,Males,A35,35,2003,0.036554262652557054
83,1,Males,A35,35,2004,0.03614814875760571
84,1,Males,A35,35,2005,0.03617463662800783
85,1,Males,A35,35,2006,0.03667073721603175
86,1,Males,A35,35,2007,0.03708834354685331
87,1,Males,A35,35,2008,0.03711881092553183
88,1,Males,A35,35,2009,0.036708636266678245
89,1,Males,A35,35,2010,0.036052832843509935
90,1,Males,A35,35,2011,0.03501357026295048
91,1,Males,A35,35,2012,0.034137426916662286
92,1,Males,A35,35,2013,0.033532673568190494
93,1,Males,A35,35,2014,0.03307669049586027
94,1,Males,A35,35,2015,0.032974351900896856
95,1,Males,A35,35,2016,0.0331474962885848
96,1,Males,A35,35,2017,0.03366192637467248
97,1,Males,A35,35,2018,0.034331373789721904
98,1,Males,A35,35,2019,0.03490727356913822
99,1,Males,A35,35,2020,0.0353672592348036
100,2,Females,A20,20,2001,-0.032975089989722796
101,2,Females,A20,20,2002,-0.0331820996029281
102,2,Females,A20,20,2003,-0.0336327186960609
103,2,Females,A20,20,2004,-0.033976042007709734
104,2,Females,A20,20,2005,-0.03443521692490659
105,2,Females,A20,20,2006,-0.034815812612470236
106,2,Females,A20,20,2007,-0.03483426960600687
107,2,Females,A20,20,2008,-0.03498602464968209
108,2,Females,A20,20,2009,-0.03539398311414994
109,2,Females,A20,20,2010,-0.035448205430798733
110,2,Females,A20,20,2011,-0.03528165412893021
111,2,Females,A20,20,2012,-0.0350860284606856
112,2,Females,A20,20,2013,-0.03485591073968845
113,2,Females,A20,20,2014,-0.03465074460443882
114,2,Females,A20,20,2015,-0.03442665317993222
115,2,Females,A20,20,2016,-0.03427320852417812
116,2,Females,A20,20,2017,-0.034165221653972504
117,2,Females,A20,20,2018,-0.03399285937526018
118,2,Females,A20,20,2019,-0.0335381830890439
119,2,Females,A20,20,2020,-0.03239033146597747
120,1,Males,A60,60,2001,0.02133278228284838
121,1,Males,A60,60,2002,0.021700612612021105
122,1,Males,A60,60,2003,0.022000445520874802
123,1,Males,A60,60,2004,0.02260052590910564
124,1,Males,A60,60,2005,0.023269645143710285
125,1,Males,A60,60,2006,0.02400409838831085
126,1,Males,A60,60,2007,0.02538609544574988
127,1,Males,A60,60,2008,0.026350499141167626
128,1,Males,A60,60,2009,0.02671525309758551
129,1,Males,A60,60,2010,0.0270989821507597
130,1,Males,A60,60,2011,0.02735887839690772
131,1,Males,A60,60,2012,0.02679657500517409
132,1,Males,A60,60,2013,0.0265949312199011
133,1,Males,A60,60,2014,0.02648697891086122
134,1,Males,A60,60,2015,0.02638764410220946
135,1,Males,A60,60,2016,0.026356432191649532
136,1,Males,A60,60,2017,0.026391906953376697
137,1,Males,A60,60,2018,0.02647269180962433
138,1,Males,A60,60,2019,0.026702625923267775
139,1,Males,A60,60,2020,0.027136744104380158
160,2,Females,A50,50,2001,-0.033404149823128254
161,2,Females,A50,50,2002,-0.03301898261162614
162,2,Females,A50,50,2003,-0.03296666853779349
163,2,Females,A50,50,2004,-0.03300020940441551
164,2,Females,A50,50,2005,-0.03303430407649482
165,2,Females,A50,50,2006,-0.03313647873650565
166,2,Females,A50,50,2007,-0.03318477740761763
167,2,Females,A50,50,2008,-0.03315230847054517
168,2,Females,A50,50,2009,-0.033236978297596774
169,2,Females,A50,50,2010,-0.03344396155548243
170,2,Females,A50,50,2011,-0.03377059935119139
171,2,Females,A50,50,2012,-0.033851636783042094
172,2,Females,A50,50,2013,-0.03381929424554835
173,2,Females,A50,50,2014,-0.033668962857997
174,2,Females,A50,50,2015,-0.03318404290897777
175,2,Females,A50,50,2016,-0.032478649932389886
176,2,Females,A50,50,2017,-0.03174881899173477
177,2,Females,A50,50,2018,-0.03119095911536821
178,2,Females,A50,50,2019,-0.030947918147091677
179,2,Females,A50,50,2020,-0.031185613366821678
200,2,Females,A45,45,2001,-0.03524506035139015
201,2,Females,A45,45,2002,-0.035374073939188136
202,2,Females,A45,45,2003,-0.03564354618186937
203,2,Females,A45,45,2004,-0.03598765888572569
204,2,Females,A45,45,2005,-0.03625968461668237
205,2,Females,A45,45,2006,-0.036484340152929694
206,2,Females,A45,45,2007,-0.03659332784126772
207,2,Females,A45,45,2008,-0.03651050564305977
208,2,Females,A45,45,2009,-0.03614270429275261
209,2,Females,A45,45,2010,-0.03559576520249186
210,2,Females,A45,45,2011,-0.03481151139318382
211,2,Females,A45,45,2012,-0.03405767664542119
212,2,Females,A45,45,2013,-0.03346764452930888
213,2,Females,A45,45,2014,-0.0332679522123443
214,2,Females,A45,45,2015,-0.03334515312083329
215,2,Females,A45,45,2016,-0.03386652679041757
216,2,Females,A45,45,2017,-0.03419729239984294
217,2,Females,A45,45,2018,-0.0341228694046053
218,2,Females,A45,45,2019,-0.03367025096246927
219,2,Females,A45,45,2020,-0.03310857818592445
240,1,Males,A30,30,2001,0.037481826566336876
241,1,Males,A30,30,2002,0.037902336009717257
242,1,Males,A30,30,2003,0.037915621510494255
243,1,Males,A30,30,2004,0.037565466472667404
244,1,Males,A30,30,2005,0.03692515043482519
245,1,Males,A30,30,2006,0.03588671557128402
246,1,Males,A30,30,2007,0.034870135438409625
247,1,Males,A30,30,2008,0.03426039729779932
248,1,Males,A30,30,2009,0.03403654852859761
249,1,Males,A30,30,2010,0.03402253565876519
250,1,Males,A30,30,2011,0.034431968381054556
251,1,Males,A30,30,2012,0.035101600218004604
252,1,Males,A30,30,2013,0.035893521693864644
253,1,Males,A30,30,2014,0.036380278727531114
254,1,Males,A30,30,2015,0.03673442994928408
255,1,Males,A30,30,2016,0.036875880676983296
256,1,Males,A30,30,2017,0.036932532743459236
257,1,Males,A30,30,2018,0.036865008280934385
258,1,Males,A30,30,2019,0.03680502977539197
259,1,Males,A30,30,2020,0.03691356966790828
260,1,Males,A15,15,2001,0.03549492155546278
261,1,Males,A15,15,2002,0.035392591308326504
262,1,Males,A15,15,2003,0.03517353332180232
263,1,Males,A15,15,2004,0.035010722569652056
264,1,Males,A15,15,2005,0.034987235863051726
265,1,Males,A15,15,2006,0.034942897073908394
266,1,Males,A15,15,2007,0.035029971256440126
267,1,Males,A15,15,2008,0.03500164876803121
268,1,Males,A15,15,2009,0.03464198878711549
269,1,Males,A15,15,2010,0.03401096145335709
270,1,Males,A15,15,2011,0.0334197939984308
271,1,Males,A15,15,2012,0.032975175583660477
272,1,Males,A15,15,2013,0.03253017137702752
273,1,Males,A15,15,2014,0.03213490758054951
274,1,Males,A15,15,2015,0.03159628644530703
275,1,Males,A15,15,2016,0.031233843361061244
276,1,Males,A15,15,2017,0.030894737227185262
277,1,Males,A15,15,2018,0.030622965791351195
278,1,Males,A15,15,2019,0.030381327258473978
279,1,Males,A15,15,2020,0.029861738771134613
280,1,Males,A45,45,2001,0.034807647599825284
281,1,Males,A45,45,2002,0.034935709848726945
282,1,Males,A45,45,2003,0.03512845387066416
283,1,Males,A45,45,2004,0.03546856269806
284,1,Males,A45,45,2005,0.0356589960253447
285,1,Males,A45,45,2006,0.03577298011252867
286,1,Males,A45,45,2007,0.03589934559019748
287,1,Males,A45,45,2008,0.03586036348946612
288,1,Males,A45,45,2009,0.03551757904296182
289,1,Males,A45,45,2010,0.03497529701453584
290,1,Males,A45,45,2011,0.034205290021174554
291,1,Males,A45,45,2012,0.033408897411811175
292,1,Males,A45,45,2013,0.03275037941893181
293,1,Males,A45,45,2014,0.032327489812225295
294,1,Males,A45,45,2015,0.03223388315289787
295,1,Males,A45,45,2016,0.0324778231754601
296,1,Males,A45,45,2017,0.03280995827144777
297,1,Males,A45,45,2018,0.032807878799911365
298,1,Males,A45,45,2019,0.032551222130475566
299,1,Males,A45,45,2020,0.03214014952077841
320,2,Females,A55,55,2001,-0.02555468953837468
321,2,Females,A55,55,2002,-0.027289780412727022
322,2,Females,A55,55,2003,-0.02870480956163048
323,2,Females,A55,55,2004,-0.029555772663663295
324,2,Females,A55,55,2005,-0.030274556318123886
325,2,Females,A55,55,2006,-0.030761285310434726
326,2,Females,A55,55,2007,-0.03017747297315075
327,2,Females,A55,55,2008,-0.02999176580726643
328,2,Females,A55,55,2009,-0.02986983057492207
329,2,Females,A55,55,2010,-0.02993979143735745
330,2,Females,A55,55,2011,-0.030166664100271332
331,2,Females,A55,55,2012,-0.03033958967539704
332,2,Females,A55,55,2013,-0.030460051481034197
333,2,Females,A55,55,2014,-0.030655632384927963
334,2,Females,A55,55,2015,-0.030873830801526454
335,2,Females,A55,55,2016,-0.031093377358691016
336,2,Females,A55,55,2017,-0.031209266291247897
337,2,Females,A55,55,2018,-0.031199485019386224
338,2,Females,A55,55,2019,-0.031152130560328506
339,2,Females,A55,55,2020,-0.03096808076864735
340,1,Males,A55,55,2001,0.026429463160025153
341,1,Males,A55,55,2002,0.028000929459082512
342,1,Males,A55,55,2003,0.029314421666898148
343,1,Males,A55,55,2004,0.02999123752390667
344,1,Males,A55,55,2005,0.030510222510517503
345,1,Males,A55,55,2006,0.03075131023150691
346,1,Males,A55,55,2007,0.030040299367829894
347,1,Males,A55,55,2008,0.02970907279846172
348,1,Males,A55,55,2009,0.029469676653964546
349,1,Males,A55,55,2010,0.029447365733543635
350,1,Males,A55,55,2011,0.0296360021815554
351,1,Males,A55,55,2012,0.029646646474701503
352,1,Males,A55,55,2013,0.029605723835248413
353,1,Males,A55,55,2014,0.029722667103317023
354,1,Males,A55,55,2015,0.02982621553288032
355,1,Males,A55,55,2016,0.029917770342385262
356,1,Males,A55,55,2017,0.03002317710937303
357,1,Males,A55,55,2018,0.0300203084632046
358,1,Males,A55,55,2019,0.029880494343848367
359,1,Males,A55,55,2020,0.02956898425663274
380,1,Males,A25,25,2001,0.03602120728098454
381,1,Males,A25,25,2002,0.03498751744659329
382,1,Males,A25,25,2003,0.0342932416775296
383,1,Males,A25,25,2004,0.03386837984295371
384,1,Males,A25,25,2005,0.03373604910658971
385,1,Males,A25,25,2006,0.0340429395853477
386,1,Males,A25,25,2007,0.03469075826323332
387,1,Males,A25,25,2008,0.035749441661306856
388,1,Males,A25,25,2009,0.036941122006699995
389,1,Males,A25,25,2010,0.03750809627015557
390,1,Males,A25,25,2011,0.03764919858635783
391,1,Males,A25,25,2012,0.03783022077804681
392,1,Males,A25,25,2013,0.037820352869875465
393,1,Males,A25,25,2014,0.03759719737263482
394,1,Males,A25,25,2015,0.03760775058946729
395,1,Males,A25,25,2016,0.037523810082854686
396,1,Males,A25,25,2017,0.03759260478679254
397,1,Males,A25,25,2018,0.037629817896296824
398,1,Males,A25,25,2019,0.03775745597064072
399,1,Males,A25,25,2020,0.037390234568630526
400,1,Males,A75,75,2001,0.01171592752593153
401,1,Males,A75,75,2002,0.011864658036512559
402,1,Males,A75,75,2003,0.012048028428146474
403,1,Males,A75,75,2004,0.012191862205272316
404,1,Males,A75,75,2005,0.012252263039749923
405,1,Males,A75,75,2006,0.012224116943913553
406,1,Males,A75,75,2007,0.01206758025472135
407,1,Males,A75,75,2008,0.011837575618732735
408,1,Males,A75,75,2009,0.011642220166439137
409,1,Males,A75,75,2010,0.011518059164614704
410,1,Males,A75,75,2011,0.01156717647214703
411,1,Males,A75,75,2012,0.011732923247731923
412,1,Males,A75,75,2013,0.011940827552457876
413,1,Males,A75,75,2014,0.01221263566057239
414,1,Males,A75,75,2015,0.012516210219224517
415,1,Males,A75,75,2016,0.012738464084872883
416,1,Males,A75,75,2017,0.013075881254506773
417,1,Males,A75,75,2018,0.013358090210308834
418,1,Males,A75,75,2019,0.013841067944190088
419,1,Males,A75,75,2020,0.014430466580572012
440,1,Males,8599,85,2001,0.00422144032221304
441,1,Males,8599,85,2002,0.004340758576080996
442,1,Males,8599,85,2003,0.004419053912640283
443,1,Males,8599,85,2004,0.004504803709197369
444,1,Males,8599,85,2005,0.00478325549823352
445,1,Males,8599,85,2006,0.005049443630193312
446,1,Males,8599,85,2007,0.005325764026253213
447,1,Males,8599,85,2008,0.005522184624465139
448,1,Males,8599,85,2009,0.005716807289882426
449,1,Males,8599,85,2010,0.005972471546745038
450,1,Males,8599,85,2011,0.0062251499819337705
451,1,Males,8599,85,2012,0.006467777789263537
452,1,Males,8599,85,2013,0.006724538764030588
453,1,Males,8599,85,2014,0.0069792209693041556
454,1,Males,8599,85,2015,0.007217082469155708
455,1,Males,8599,85,2016,0.007409312929027423
456,1,Males,8599,85,2017,0.007522439360276012
457,1,Males,8599,85,2018,0.007631164428743616
458,1,Males,8599,85,2019,0.007768823663566751
459,1,Males,8599,85,2020,0.00794667205867325
460,2,Females,A75,75,2001,-0.015047029782718808
461,2,Females,A75,75,2002,-0.014980654222242285
462,2,Females,A75,75,2003,-0.014947362261359705
463,2,Females,A75,75,2004,-0.014875088309564544
464,2,Females,A75,75,2005,-0.014700862037690334
465,2,Females,A75,75,2006,-0.014507187582239392
466,2,Females,A75,75,2007,-0.014229708989341174
467,2,Females,A75,75,2008,-0.013901371058739674
468,2,Females,A75,75,2009,-0.013600899848434787
469,2,Females,A75,75,2010,-0.01343719858840083
470,2,Females,A75,75,2011,-0.013425679399449168
471,2,Females,A75,75,2012,-0.013415992678634778
472,2,Females,A75,75,2013,-0.013488034419040121
473,2,Females,A75,75,2014,-0.013714615198039367
474,2,Females,A75,75,2015,-0.013958938100213742
475,2,Females,A75,75,2016,-0.014180741548880329
476,2,Females,A75,75,2017,-0.0144481352222962
477,2,Females,A75,75,2018,-0.014662433441909853
478,2,Females,A75,75,2019,-0.015109944533464323
479,2,Females,A75,75,2020,-0.015679391662111714
480,1,Males,A10,10,2001,0.035715002790445365
481,1,Males,A10,10,2002,0.03569138265245668
482,1,Males,A10,10,2003,0.035661040457057966
483,1,Males,A10,10,2004,0.035538899303366595
484,1,Males,A10,10,2005,0.03523732452904924
485,1,Males,A10,10,2006,0.03473601198104774
486,1,Males,A10,10,2007,0.03408512023120066
487,1,Males,A10,10,2008,0.033427424723162506
488,1,Males,A10,10,2009,0.03280547591278544
489,1,Males,A10,10,2010,0.03222708137120292
490,1,Males,A10,10,2011,0.03185059246131517
491,1,Males,A10,10,2012,0.03133934928089493
492,1,Males,A10,10,2013,0.030907299072916793
493,1,Males,A10,10,2014,0.03062479196561072
494,1,Males,A10,10,2015,0.030425938534165798
495,1,Males,A10,10,2016,0.030401836524773546
496,1,Males,A10,10,2017,0.030779420742984474
497,1,Males,A10,10,2018,0.031192440140948803
498,1,Males,A10,10,2019,0.03150563880540469
499,1,Males,A10,10,2020,0.03187346778637972
500,2,Females,A59,5,2001,-0.033900655579559964
501,2,Females,A59,5,2002,-0.03337450584015253
502,2,Females,A59,5,2003,-0.032812211835693564
503,2,Females,A59,5,2004,-0.03236035700492888
504,2,Females,A59,5,2005,-0.03189795192944942
505,2,Females,A59,5,2006,-0.03155875375275671
506,2,Females,A59,5,2007,-0.031078535994171586
507,2,Females,A59,5,2008,-0.03063701365872662
508,2,Females,A59,5,2009,-0.030247302960267713
509,2,Females,A59,5,2010,-0.030059890839356836
510,2,Females,A59,5,2011,-0.03023403197776332
511,2,Females,A59,5,2012,-0.030359604222233612
512,2,Females,A59,5,2013,-0.03065600334553651
513,2,Females,A59,5,2014,-0.03100233151866148
514,2,Females,A59,5,2015,-0.03139129815907334
515,2,Females,A59,5,2016,-0.031543339817725724
516,2,Females,A59,5,2017,-0.03141355978775588
517,2,Females,A59,5,2018,-0.031265931031920983
518,2,Females,A59,5,2019,-0.031077620625769124
519,2,Females,A59,5,2020,-0.030850636514391513
520,2,Females,A65,65,2001,-0.017877164475858794
521,2,Females,A65,65,2002,-0.018058589776668216
522,2,Females,A65,65,2003,-0.0183031191988413
523,2,Females,A65,65,2004,-0.01864020378150059
524,2,Females,A65,65,2005,-0.018928827521291238
525,2,Females,A65,65,2006,-0.019123106458638676
526,2,Females,A65,65,2007,-0.019374271340242298
527,2,Females,A65,65,2008,-0.019589114864988558
528,2,Females,A65,65,2009,-0.02007610946016885
529,2,Females,A65,65,2010,-0.02074978156524107
530,2,Females,A65,65,2011,-0.021486413801525012
531,2,Females,A65,65,2012,-0.022619956966524902
532,2,Females,A65,65,2013,-0.023472240231797392
533,2,Females,A65,65,2014,-0.023969139815552144
534,2,Females,A65,65,2015,-0.02448556106935696
535,2,Females,A65,65,2016,-0.024966529779143876
536,2,Females,A65,65,2017,-0.024667199959677845
537,2,Females,A65,65,2018,-0.024698743385819812
538,2,Females,A65,65,2019,-0.024877842144987266
539,2,Females,A65,65,2020,-0.02527078917012987
580,2,Females,A80,80,2001,-0.010398916175145856
581,2,Females,A80,80,2002,-0.01074238235956422
582,2,Females,A80,80,2003,-0.011090457724779759
583,2,Females,A80,80,2004,-0.011412941995578928
584,2,Females,A80,80,2005,-0.011576934430379696
585,2,Females,A80,80,2006,-0.011590161560094521
586,2,Females,A80,80,2007,-0.011555135771140843
587,2,Females,A80,80,2008,-0.011510410345349959
588,2,Females,A80,80,2009,-0.011416603428055944
589,2,Females,A80,80,2010,-0.011376899247676648
590,2,Females,A80,80,2011,-0.011345556298417584
591,2,Females,A80,80,2012,-0.011107457662085388
592,2,Females,A80,80,2013,-0.010868929345733068
593,2,Females,A80,80,2014,-0.010679773106523916
594,2,Females,A80,80,2015,-0.010510625317145052
595,2,Females,A80,80,2016,-0.010441981361013045
596,2,Females,A80,80,2017,-0.010539406370087465
597,2,Females,A80,80,2018,-0.01070257131658531
598,2,Females,A80,80,2019,-0.010927138154231228
599,2,Females,A80,80,2020,-0.011230674913759415
620,2,Females,A25,25,2001,-0.036291613550840554
621,2,Females,A25,25,2002,-0.03496833324698734
622,2,Females,A25,25,2003,-0.034127629205744185
623,2,Females,A25,25,2004,-0.03354428963590623
624,2,Females,A25,25,2005,-0.033298864777861197
625,2,Females,A25,25,2006,-0.03351318465836773
626,2,Females,A25,25,2007,-0.03401694154042166
627,2,Females,A25,25,2008,-0.03484183097913479
628,2,Females,A25,25,2009,-0.0357738988356489
629,2,Females,A25,25,2010,-0.03635149273207984
630,2,Females,A25,25,2011,-0.03657498308864843
631,2,Females,A25,25,2012,-0.036895211530666355
632,2,Females,A25,25,2013,-0.037069578780021505
633,2,Females,A25,25,2014,-0.03721147914484799
634,2,Females,A25,25,2015,-0.03738495914195481
635,2,Females,A25,25,2016,-0.03747527945107639
636,2,Females,A25,25,2017,-0.0375737037768689
637,2,Females,A25,25,2018,-0.037514938344504804
638,2,Females,A25,25,2019,-0.03741841605677263
639,2,Females,A25,25,2020,-0.03680184585943627
640,2,Females,A70,70,2001,-0.017253808502658483
641,2,Females,A70,70,2002,-0.016913128917308406
642,2,Females,A70,70,2003,-0.016529554651025465
643,2,Females,A70,70,2004,-0.016204008664747343
644,2,Females,A70,70,2005,-0.015962208955969528
645,2,Females,A70,70,2006,-0.015832455053712377
646,2,Females,A70,70,2007,-0.015937297114380123
647,2,Females,A70,70,2008,-0.016010674096468294
648,2,Females,A70,70,2009,-0.01616548079576969
649,2,Females,A70,70,2010,-0.01637927082505929
650,2,Females,A70,70,2011,-0.016578988455876322
651,2,Females,A70,70,2012,-0.016911324340570168
652,2,Females,A70,70,2013,-0.01720485042261741
653,2,Females,A70,70,2014,-0.017709897806607228
654,2,Females,A70,70,2015,-0.01822468471294187
655,2,Females,A70,70,2016,-0.01874071939510164
656,2,Females,A70,70,2017,-0.019823135323914533
657,2,Females,A70,70,2018,-0.020719227650763603
658,2,Females,A70,70,2019,-0.021259576645590344
659,2,Females,A70,70,2020,-0.021969274746317685
660,1,Males,A04,0,2001,0.03388135566927861
661,1,Males,A04,0,2002,0.0333704022680443
662,1,Males,A04,0,2003,0.03299146477132168
663,1,Males,A04,0,2004,0.032685049237128776
664,1,Males,A04,0,2005,0.032514648970869774
665,1,Males,A04,0,2006,0.032490201196364026
666,1,Males,A04,0,2007,0.03294908079280486
667,1,Males,A04,0,2008,0.0334248834509009
668,1,Males,A04,0,2009,0.03374427020384293
669,1,Males,A04,0,2010,0.03387483971994962
670,1,Males,A04,0,2011,0.033506096501955414
671,1,Males,A04,0,2012,0.03374857286383752
672,1,Males,A04,0,2013,0.03384796063702343
673,1,Males,A04,0,2014,0.03370329625298277
674,1,Males,A04,0,2015,0.03346650013992697
675,1,Males,A04,0,2016,0.0333965568136821
676,1,Males,A04,0,2017,0.03296876740213951
677,1,Males,A04,0,2018,0.03234219632411052
678,1,Males,A04,0,2019,0.03179977564230816
679,1,Males,A04,0,2020,0.03117716889923602
740,2,Females,A15,15,2001,-0.03402553430011703
741,2,Females,A15,15,2002,-0.03395321209671504
742,2,Females,A15,15,2003,-0.0338080671122991
743,2,Females,A15,15,2004,-0.033614576072450116
744,2,Females,A15,15,2005,-0.03338480487830505
745,2,Females,A15,15,2006,-0.03315569543267541
746,2,Females,A15,15,2007,-0.03318333701274202
747,2,Females,A15,15,2008,-0.033123836809095725
748,2,Females,A15,15,2009,-0.03277740059736342
749,2,Females,A15,15,2010,-0.03225921681210072
750,2,Females,A15,15,2011,-0.03164096869367732
751,2,Females,A15,15,2012,-0.03126069871002946
752,2,Females,A15,15,2013,-0.03086976901590267
753,2,Females,A15,15,2014,-0.030513272327803327
