Code,Region,Year,Births,Deaths,Population,Birth_Rate,Death_Rate
1, New South Wales,2001,84578,44552,6530349,13,7
1, New South Wales,2002,86583,46384,6580807,13.2,7
1, New South Wales,2003,86344,46111,6620715,13,6.9
1, New South Wales,2004,85894,46440,6650735,12.9,7
1, New South Wales,2005,91224,44894,6693206,13.6,6.9
1, New South Wales,2006,92188,46034,6742690,13.7,6.8
1, New South Wales,2007,96351,46759,6834156,14.1,6.8
1, New South Wales,2008,100276,48782,6943461,14.4,6.9
1, New South Wales,2009,98231,46974,7053755,13.9,6.8
1, New South Wales,2010,101266,47945,7144292,14.2,6.8
1, New South Wales,2011,99054,50661,7218529,13.7,6.8
1, New South Wales,2012,98508,49314,7304244,13.5,6.8
1, New South Wales,2013,100462,50396,7404032,13.6,6.9
1, New South Wales,2014,91074,52320,7508353,12.1,6.8
1, New South Wales,2015,100079,53600,7616168,13.1,6.9
1, New South Wales,2016,96083,53694,7732858,12.4,7
1, New South Wales,2017,96591,52778,7850871,12.3,6.9
1, New South Wales,2018,107343,53633,7945580,13.4,6.8
1, New South Wales,2019,98906,56058,8034305,12.2,6.8
1, New South Wales,2020,95459,52485,8094317,11.7,6.7
2, Victoria,2001,58626,32295,4763615,12.3,6.9
2, Victoria,2002,61478,33772,4817774,12.8,6.9
2, Victoria,2003,61058,32925,4873809,12.5,6.8
2, Victoria,2004,62417,32522,4927149,12.7,6.8
2, Victoria,2005,63297,32605,4989246,12.7,6.6
2, Victoria,2006,65245,33311,5061266,12.9,6.6
2, Victoria,2007,70325,33930,5153522,13.6,6.6
2, Victoria,2008,71184,35497,5256375,13.5,6.6
2, Victoria,2009,70928,35640,5371934,13.2,6.7
2, Victoria,2010,70572,35623,5461101,12.9,6.6
2, Victoria,2011,71444,36552,5537817,12.9,6.6
2, Victoria,2012,77405,35760,5651091,13.7,6.5
2, Victoria,2013,73969,35916,5772669,12.8,6.4
2, Victoria,2014,74224,38042,5894917,12.6,6.3
2, Victoria,2015,73568,39904,6022322,12.2,6.4
2, Victoria,2016,82892,39450,6173172,13.4,6.5
2, Victoria,2017,82094,39791,6299798,13,6.4
2, Victoria,2018,78488,38231,6418168,12.2,6.2
2, Victoria,2019,77220,43944,6530852,11.7,6.3
2, Victoria,2020,73543,41093,6606149,11,6.3
3, Queensland,2001,47678,22856,3571469,13.3,6.5
3, Queensland,2002,47771,23968,3653123,13.1,6.5
3, Queensland,2003,48342,23500,3743121,12.9,6.4
3, Queensland,2004,49940,24514,3829970,13,6.4
3, Queensland,2005,51707,23584,3918494,13.2,6.2
3, Queensland,2006,52695,24473,4007992,13.1,6.2
3, Queensland,2007,61306,25801,4111018,14.9,6.1
3, Queensland,2008,63168,27335,4219505,15,6.3
3, Queensland,2009,66149,26316,4328771,15.3,6.3
3, Queensland,2010,64523,27289,4404744,14.6,6.3
3, Queensland,2011,63253,27414,4476778,14.1,6.1
3, Queensland,2012,63837,28300,4568687,14,6.2
3, Queensland,2013,63354,27901,4652824,13.6,6.1
3, Queensland,2014,63066,28704,4719653,13.4,6.1
