Code,Region,Date,Population,Change_Amount_Over_Previous_Year,Change_Percent_Over_Previous_Year
1, New South Wales,2000-01-01,6431826.0,71274.0,0.011000000000000001
1, New South Wales,2000-04-01,6446558.0,71455.0,0.011000000000000001
1, New South Wales,2000-07-01,6465614.0,72514.0,0.011000000000000001
1, New South Wales,2000-10-01,6485081.0,75110.0,0.012
1, New South Wales,2001-01-01,6513844.0,82018.0,0.013000000000000001
1, New South Wales,2001-04-01,6530349.0,83791.0,0.013000000000000001
1, New South Wales,2001-07-01,6544891.0,79277.0,0.012
1, New South Wales,2001-10-01,6558484.0,73403.0,0.011000000000000001
1, New South Wales,2002-01-01,6575296.0,61452.0,0.009000000000000001
1, New South Wales,2002-04-01,6580807.0,50458.0,0.008
1, New South Wales,2002-07-01,6590659.0,45768.0,0.006999999999999999
1, New South Wales,2002-10-01,6599441.0,40957.0,0.006
1, New South Wales,2003-01-01,6615712.0,40416.0,0.006
1, New South Wales,2003-04-01,6620715.0,39908.0,0.006
1, New South Wales,2003-07-01,6627538.0,36879.0,0.006
1, New South Wales,2003-10-01,6634509.0,35068.0,0.005
1, New South Wales,2004-01-01,6648280.0,32568.0,0.005
1, New South Wales,2004-04-01,6650735.0,30020.0,0.005
1, New South Wales,2004-07-01,6660416.0,32878.0,0.005
1, New South Wales,2004-10-01,6669206.0,34697.0,0.005
1, New South Wales,2005-01-01,6685875.0,37595.0,0.006
1, New South Wales,2005-04-01,6693206.0,42471.0,0.006
1, New South Wales,2005-07-01,6707429.0,47013.0,0.006999999999999999
1, New South Wales,2005-10-01,6718023.0,48817.0,0.006999999999999999
1, New South Wales,2006-01-01,6735528.0,49653.0,0.006999999999999999
1, New South Wales,2006-04-01,6742690.0,49484.0,0.006999999999999999
1, New South Wales,2006-07-01,6766133.0,58704.0,0.009000000000000001
1, New South Wales,2006-10-01,6786160.0,68137.0,0.01
1, New South Wales,2007-01-01,6815359.0,79831.0,0.012
1, New South Wales,2007-04-01,6834156.0,91466.0,0.013999999999999999
1, New South Wales,2007-07-01,6859736.0,93603.0,0.013999999999999999
1, New South Wales,2007-10-01,6883852.0,97692.0,0.013999999999999999
1, New South Wales,2008-01-01,6919907.0,104548.0,0.015
1, New South Wales,2008-04-01,6943461.0,109305.0,0.016
1, New South Wales,2008-07-01,6972395.0,112659.0,0.016
1, New South Wales,2008-10-01,7001782.0,117930.0,0.017
1, New South Wales,2009-01-01,7032423.0,112516.0,0.016
1, New South Wales,2009-04-01,7053755.0,110294.0,0.016
1, New South Wales,2009-07-01,7079175.0,106780.0,0.015
1, New South Wales,2009-10-01,7101504.0,99722.0,0.013999999999999999
1, New South Wales,2010-01-01,7128356.0,95933.0,0.013999999999999999
