State_Depature_Code,State_Depature,State_Arrival_Code,State_Arrival,Date,Population
2,Victoria,8,Australian Capital Territory,2000-01-01,645
2,Victoria,8,Australian Capital Territory,2000-04-01,570
2,Victoria,8,Australian Capital Territory,2000-07-01,460
2,Victoria,8,Australian Capital Territory,2000-10-01,745
2,Victoria,8,Australian Capital Territory,2001-01-01,567
2,Victoria,8,Australian Capital Territory,2001-04-01,614
2,Victoria,8,Australian Capital Territory,2001-07-01,558
2,Victoria,8,Australian Capital Territory,2001-10-01,784
2,Victoria,8,Australian Capital Territory,2002-01-01,559
2,Victoria,8,Australian Capital Territory,2002-04-01,594
2,Victoria,8,Australian Capital Territory,2002-07-01,520
2,Victoria,8,Australian Capital Territory,2002-10-01,681
2,Victoria,8,Australian Capital Territory,2003-01-01,595
2,Victoria,8,Australian Capital Territory,2003-04-01,615
2,Victoria,8,Australian Capital Territory,2003-07-01,502
2,Victoria,8,Australian Capital Territory,2003-10-01,714
2,Victoria,8,Australian Capital Territory,2004-01-01,607
2,Victoria,8,Australian Capital Territory,2004-04-01,546
2,Victoria,8,Australian Capital Territory,2004-07-01,489
2,Victoria,8,Australian Capital Territory,2004-10-01,647
2,Victoria,8,Australian Capital Territory,2005-01-01,562
2,Victoria,8,Australian Capital Territory,2005-04-01,538
2,Victoria,8,Australian Capital Territory,2005-07-01,504
2,Victoria,8,Australian Capital Territory,2005-10-01,720
2,Victoria,8,Australian Capital Territory,2006-01-01,592
2,Victoria,8,Australian Capital Territory,2006-04-01,605
2,Victoria,8,Australian Capital Territory,2006-07-01,468
2,Victoria,8,Australian Capital Territory,2006-10-01,793
2,Victoria,8,Australian Capital Territory,2007-01-01,703
2,Victoria,8,Australian Capital Territory,2007-04-01,752
2,Victoria,8,Australian Capital Territory,2007-07-01,481
2,Victoria,8,Australian Capital Territory,2007-10-01,692
2,Victoria,8,Australian Capital Territory,2008-01-01,720
2,Victoria,8,Australian Capital Territory,2008-04-01,599
2,Victoria,8,Australian Capital Territory,2008-07-01,421
2,Victoria,8,Australian Capital Territory,2008-10-01,800
2,Victoria,8,Australian Capital Territory,2009-01-01,622
2,Victoria,8,Australian Capital Territory,2009-04-01,565
2,Victoria,8,Australian Capital Territory,2009-07-01,502
2,Victoria,8,Australian Capital Territory,2009-10-01,704
2,Victoria,8,Australian Capital Territory,2010-01-01,593
2,Victoria,8,Australian Capital Territory,2010-04-01,585
2,Victoria,8,Australian Capital Territory,2010-07-01,464
2,Victoria,8,Australian Capital Territory,2010-10-01,968
2,Victoria,8,Australian Capital Territory,2011-01-01,591
2,Victoria,8,Australian Capital Territory,2011-04-01,574
2,Victoria,8,Australian Capital Territory,2011-07-01,546
2,Victoria,8,Australian Capital Territory,2011-10-01,850
2,Victoria,8,Australian Capital Territory,2012-01-01,657
2,Victoria,8,Australian Capital Territory,2012-04-01,564
2,Victoria,8,Australian Capital Territory,2012-07-01,535
2,Victoria,8,Australian Capital Territory,2012-10-01,640
2,Victoria,8,Australian Capital Territory,2013-01-01,686
2,Victoria,8,Australian Capital Territory,2013-04-01,606
2,Victoria,8,Australian Capital Territory,2013-07-01,479
2,Victoria,8,Australian Capital Territory,2013-10-01,873
2,Victoria,8,Australian Capital Territory,2014-01-01,621
2,Victoria,8,Australian Capital Territory,2014-04-01,588
2,Victoria,8,Australian Capital Territory,2014-07-01,488
2,Victoria,8,Australian Capital Territory,2014-10-01,722
2,Victoria,8,Australian Capital Territory,2015-01-01,703
2,Victoria,8,Australian Capital Territory,2015-04-01,664
2,Victoria,8,Australian Capital Territory,2015-07-01,535
2,Victoria,8,Australian Capital Territory,2015-10-01,824
2,Victoria,8,Australian Capital Territory,2016-01-01,766
2,Victoria,8,Australian Capital Territory,2016-04-01,713
2,Victoria,8,Australian Capital Territory,2016-07-01,576
2,Victoria,8,Australian Capital Territory,2016-10-01,968
2,Victoria,8,Australian Capital Territory,2017-01-01,757
2,Victoria,8,Australian Capital Territory,2017-04-01,836
2,Victoria,8,Australian Capital Territory,2017-07-01,681
2,Victoria,8,Australian Capital Territory,2017-10-01,1015
2,Victoria,8,Australian Capital Territory,2018-01-01,864
2,Victoria,8,Australian Capital Territory,2018-04-01,818
2,Victoria,8,Australian Capital Territory,2018-07-01,661
2,Victoria,8,Australian Capital Territory,2018-10-01,1062
2,Victoria,8,Australian Capital Territory,2019-01-01,798
2,Victoria,8,Australian Capital Territory,2019-04-01,840
2,Victoria,8,Australian Capital Territory,2019-07-01,709
2,Victoria,8,Australian Capital Territory,2019-10-01,826
2,Victoria,8,Australian Capital Territory,2020-01-01,793
2,Victoria,8,Australian Capital Territory,2020-04-01,774
2,Victoria,8,Australian Capital Territory,2020-07-01,608
2,Victoria,8,Australian Capital Territory,2020-10-01,953
3,Queensland,3,Queensland,2000-01-01,0
3,Queensland,3,Queensland,2000-04-01,0
3,Queensland,3,Queensland,2000-07-01,0
3,Queensland,3,Queensland,2000-10-01,0
3,Queensland,3,Queensland,2001-01-01,0
3,Queensland,3,Queensland,2001-04-01,0
3,Queensland,3,Queensland,2001-07-01,0
3,Queensland,3,Queensland,2001-10-01,0
3,Queensland,3,Queensland,2002-01-01,0
3,Queensland,3,Queensland,2002-04-01,0
3,Queensland,3,Queensland,2002-07-01,0
3,Queensland,3,Queensland,2002-10-01,0
3,Queensland,3,Queensland,2003-01-01,0
3,Queensland,3,Queensland,2003-04-01,0
3,Queensland,3,Queensland,2003-07-01,0
3,Queensland,3,Queensland,2003-10-01,0
3,Queensland,3,Queensland,2004-01-01,0
3,Queensland,3,Queensland,2004-04-01,0
3,Queensland,3,Queensland,2004-07-01,0
3,Queensland,3,Queensland,2004-10-01,0
3,Queensland,3,Queensland,2005-01-01,0
3,Queensland,3,Queensland,2005-04-01,0
3,Queensland,3,Queensland,2005-07-01,0
3,Queensland,3,Queensland,2005-10-01,0
3,Queensland,3,Queensland,2006-01-01,0
3,Queensland,3,Queensland,2006-04-01,0
3,Queensland,3,Queensland,2006-07-01,0
3,Queensland,3,Queensland,2006-10-01,0
3,Queensland,3,Queensland,2007-01-01,0
3,Queensland,3,Queensland,2007-04-01,0
3,Queensland,3,Queensland,2007-07-01,0
3,Queensland,3,Queensland,2007-10-01,0
3,Queensland,3,Queensland,2008-01-01,0
3,Queensland,3,Queensland,2008-04-01,0
3,Queensland,3,Queensland,2008-07-01,0
3,Queensland,3,Queensland,2008-10-01,0
3,Queensland,3,Queensland,2009-01-01,0
3,Queensland,3,Queensland,2009-04-01,0
3,Queensland,3,Queensland,2009-07-01,0
3,Queensland,3,Queensland,2009-10-01,0
3,Queensland,3,Queensland,2010-01-01,0
3,Queensland,3,Queensland,2010-04-01,0
3,Queensland,3,Queensland,2010-07-01,0
3,Queensland,3,Queensland,2010-10-01,0
3,Queensland,3,Queensland,2011-01-01,0
3,Queensland,3,Queensland,2011-04-01,0
3,Queensland,3,Queensland,2011-07-01,0
3,Queensland,3,Queensland,2011-10-01,0
3,Queensland,3,Queensland,2012-01-01,0
3,Queensland,3,Queensland,2012-04-01,0
3,Queensland,3,Queensland,2012-07-01,0
3,Queensland,3,Queensland,2012-10-01,0
3,Queensland,3,Queensland,2013-01-01,0
3,Queensland,3,Queensland,2013-04-01,0
3,Queensland,3,Queensland,2013-07-01,0
3,Queensland,3,Queensland,2013-10-01,0
3,Queensland,3,Queensland,2014-01-01,0
3,Queensland,3,Queensland,2014-04-01,0
3,Queensland,3,Queensland,2014-07-01,0
3,Queensland,3,Queensland,2014-10-01,0
3,Queensland,3,Queensland,2015-01-01,0
3,Queensland,3,Queensland,2015-04-01,0
3,Queensland,3,Queensland,2015-07-01,0
3,Queensland,3,Queensland,2015-10-01,0
3,Queensland,3,Queensland,2016-01-01,0
3,Queensland,3,Queensland,2016-04-01,0
3,Queensland,3,Queensland,2016-07-01,0
3,Queensland,3,Queensland,2016-10-01,0
3,Queensland,3,Queensland,2017-01-01,0
3,Queensland,3,Queensland,2017-04-01,0
3,Queensland,3,Queensland,2017-07-01,0
3,Queensland,3,Queensland,2017-10-01,0
3,Queensland,3,Queensland,2018-01-01,0
3,Queensland,3,Queensland,2018-04-01,0
3,Queensland,3,Queensland,2018-07-01,0
3,Queensland,3,Queensland,2018-10-01,0
3,Queensland,3,Queensland,2019-01-01,0
3,Queensland,3,Queensland,2019-04-01,0
3,Queensland,3,Queensland,2019-07-01,0
3,Queensland,3,Queensland,2019-10-01,0
3,Queensland,3,Queensland,2020-01-01,0
3,Queensland,3,Queensland,2020-04-01,0
3,Queensland,3,Queensland,2020-07-01,0
3,Queensland,3,Queensland,2020-10-01,0
